Prescription Drug Name,Drug Tier,Coverage Requirements and Limits,Insurer
hydroxyzine pamoate caps 50 mg,1,,kaiser
[Lorazepam] LORAZEPAM INTENSOL CONC 2 MG/ML,1,QL - 30 day(s),kaiser
lorazepam soln 2 mg/ml,1,MB,kaiser
lorazepam soln 4 mg/ml,1,MB,kaiser
lorazepam tabs 0.5 mg,1,QL - 30 day(s),kaiser
lorazepam tabs 1 mg,1,QL - 30 day(s),kaiser
lorazepam tabs 2 mg,1,QL - 30 day(s),kaiser
midazolam hcl (pf) soln 10 mg/2ml,1,MB,kaiser
midazolam hcl (pf) soln 2 mg/2ml,1,MB,kaiser
midazolam hcl (pf) soln 5 mg/ml,1,MB,kaiser
midazolam hcl soln 10 mg/2ml,1,MB,kaiser
midazolam hcl soln 2 mg/2ml,1,MB,kaiser
midazolam hcl syrp 2 mg/ml,1,,kaiser
[Pentobarbital Sodium] NEMBUTAL SOLN 50 MG/ML,2,MB,kaiser
oxazepam caps 10 mg,1,QL - 30 day(s),kaiser
oxazepam caps 15 mg,1,QL - 30 day(s),kaiser
oxazepam caps 30 mg,1,QL - 30 day(s),kaiser
PHENOBARBITAL ELIX 20 MG/5ML [phenobarbital],1,,kaiser
PHENOBARBITAL SODIUM SOLN 130 MG/ML [phenobarbital sodium],2,MB,kaiser
PHENOBARBITAL SODIUM SOLN 65 MG/ML [phenobarbital sodium],2,MB,kaiser
PHENOBARBITAL TABS 100 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 15 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 16.2 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 30 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 32.4 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 60 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 64.8 MG [phenobarbital],1,,kaiser
PHENOBARBITAL TABS 97.2 MG [phenobarbital],1,,kaiser
PRECEDEX SOLN 200 MCG/2ML [dexmedetomidine hcl],2,MB,kaiser
SILENOR TABS 3 MG [doxepin hcl (sleep)],2,,kaiser
SILENOR TABS 6 MG [doxepin hcl (sleep)],2,,kaiser
temazepam caps 15 mg,1,QL - 30 day(s),kaiser
temazepam caps 30 mg,1,QL - 30 day(s),kaiser
zolpidem tartrate tabs 5 mg,1,QL - 30 day(s),kaiser
acamprosate calcium tbec 333 mg,1,,kaiser
flumazenil soln 0.5 mg/5ml,1,MB,kaiser
guanfacine hcl er tb24 1 mg,1,,kaiser
guanfacine hcl er tb24 2 mg,1,,kaiser
guanfacine hcl er tb24 3 mg,1,,kaiser
guanfacine hcl er tb24 4 mg,1,,kaiser
memantine hcl tabs 10 mg,1,,kaiser
memantine hcl tabs 5 mg,1,,kaiser
NAMENDA SOLN 10 MG/5ML [memantine hcl],2,,kaiser
NAMENDA TITRATION PAK TABS 28 x 5 MG & 21 X 10 MG [memantine hcl],2,,kaiser
riluzole tabs 50 mg,1,,kaiser
selegiline hcl caps 5 mg,1,,kaiser
BREVITAL SODIUM SOLR 500 MG [methohexital sodium],2,MB,kaiser
etomidate soln 2 mg/ml,1,MB,kaiser
FORANE SOLN  [isoflurane],2,,kaiser
ketamine hcl soln 10 mg/ml,1,MB,kaiser
ketamine hcl soln 100 mg/ml,1,MB,kaiser
ketamine hcl soln 50 mg/ml,1,MB,kaiser
propofol emul 1000 mg/100ml,1,MB,kaiser
propofol emul 200 mg/20ml,1,MB,kaiser
AVONEX KIT 30MCG    [interferon beta-1a],4,"QL - 30 day(s),MB",kaiser
EXTAVIA KIT 0.3 MG [interferon beta-1b],2,QL - 30 day(s),kaiser
[Glatiramer Acetate] GLATOPA SOSY 20 MG/ML,1,QL - 30 day(s),kaiser
naloxone hcl soct 0.4 mg/ml,1,MB,kaiser
naloxone hcl soln 0.4 mg/ml,1,MB,kaiser
naloxone hcl sosy 2 mg/2ml,2,MB,kaiser
NALTREXONE HCL POWD  [naltrexone hcl (bulk)],2,,kaiser
naltrexone hcl tabs 50 mg,1,,kaiser
NARCAN LIQD 4 MG/0.1ML [naloxone hcl],2,,kaiser
amitriptyline hcl tabs 10 mg,1,,kaiser
amitriptyline hcl tabs 100 mg,1,,kaiser
amitriptyline hcl tabs 150 mg,1,,kaiser
amitriptyline hcl tabs 25 mg,1,,kaiser
amitriptyline hcl tabs 50 mg,1,,kaiser
amitriptyline hcl tabs 75 mg,1,,kaiser
amoxapine tabs 100 mg,2,,kaiser
amoxapine tabs 150 mg,2,,kaiser
amoxapine tabs 25 mg,2,,kaiser
amoxapine tabs 50 mg,2,,kaiser
aripiprazole tabs 10 mg,1,,kaiser
aripiprazole tabs 15 mg,1,,kaiser
aripiprazole tabs 2 mg,1,,kaiser
aripiprazole tabs 20 mg,1,,kaiser
aripiprazole tabs 30 mg,1,,kaiser
aripiprazole tabs 5 mg,1,,kaiser
ARISTADA PRSY 1064 MG/3.9ML [aripiprazole,4,MB,kaiser
ARISTADA PRSY 441 MG/1.6ML [aripiprazole lauroxil],4,MB,kaiser
ARISTADA PRSY 662 MG/2.4ML [aripiprazole lauroxil],4,MB,kaiser
ARISTADA PRSY 882 MG/3.2ML [aripiprazole lauroxil],4,MB,kaiser
bupropion hcl er (sr) tb12 100 mg,1,,kaiser
bupropion hcl er (sr) tb12 150 mg,1,PREV,kaiser
bupropion hcl er (sr) tb12 200 mg,1,,kaiser
bupropion hcl er (xl) tb24 150 mg,1,PREV,kaiser
bupropion hcl er (xl) tb24 300 mg,1,,kaiser
bupropion hcl tabs 100 mg,1,,kaiser
bupropion hcl tabs 75 mg,1,,kaiser
chlorpromazine hcl soln 25 mg/ml,2,MB,kaiser
chlorpromazine hcl tabs 10 mg,1,,kaiser
chlorpromazine hcl tabs 100 mg,1,,kaiser
chlorpromazine hcl tabs 200 mg,1,,kaiser
chlorpromazine hcl tabs 25 mg,1,,kaiser
chlorpromazine hcl tabs 50 mg,1,,kaiser
citalopram hydrobromide soln 10 mg/5ml,1,,kaiser
citalopram hydrobromide tabs 10 mg,1,,kaiser
citalopram hydrobromide tabs 20 mg,1,,kaiser
citalopram hydrobromide tabs 40 mg,1,,kaiser
clomipramine hcl caps 25 mg,1,,kaiser
clomipramine hcl caps 50 mg,1,,kaiser
clomipramine hcl caps 75 mg,1,,kaiser
clozapine tabs 100 mg,1,,kaiser
clozapine tabs 200 mg,1,,kaiser
clozapine tabs 25 mg,1,,kaiser
clozapine tabs 50 mg,1,,kaiser
[Prochlorperazine] COMPRO SUPP 25 MG,1,,kaiser
desipramine hcl tabs 10 mg,1,,kaiser
desipramine hcl tabs 100 mg,1,,kaiser
desipramine hcl tabs 150 mg,1,,kaiser
desipramine hcl tabs 25 mg,1,,kaiser
desipramine hcl tabs 50 mg,1,,kaiser
desipramine hcl tabs 75 mg,1,,kaiser
doxepin hcl caps 10 mg,1,,kaiser
doxepin hcl caps 100 mg,1,,kaiser
doxepin hcl caps 150 mg,1,,kaiser
doxepin hcl caps 25 mg,1,,kaiser
doxepin hcl caps 50 mg,1,,kaiser
doxepin hcl caps 75 mg,1,,kaiser
doxepin hcl conc 10 mg/ml,1,,kaiser
duloxetine hcl cpep 20 mg,1,,kaiser
duloxetine hcl cpep 30 mg,1,,kaiser
duloxetine hcl cpep 60 mg,1,,kaiser
escitalopram oxalate soln 5 mg/5ml,1,,kaiser
escitalopram oxalate tabs 10 mg,1,,kaiser
escitalopram oxalate tabs 20 mg,1,,kaiser
escitalopram oxalate tabs 5 mg,1,,kaiser
fluoxetine hcl caps 10 mg,1,,kaiser
fluoxetine hcl caps 20 mg,1,,kaiser
fluoxetine hcl caps 40 mg,1,,kaiser
fluoxetine hcl soln 20 mg/5ml,1,,kaiser
fluphenazine decanoate soln 25 mg/ml,1,MB,kaiser
fluphenazine hcl conc 5 mg/ml,2,,kaiser
fluphenazine hcl tabs 1 mg,1,,kaiser
fluphenazine hcl tabs 10 mg,1,,kaiser
fluphenazine hcl tabs 2.5 mg,1,,kaiser
fluphenazine hcl tabs 5 mg,1,,kaiser
fluvoxamine maleate tabs 100 mg,1,,kaiser
fluvoxamine maleate tabs 25 mg,1,,kaiser
fluvoxamine maleate tabs 50 mg,1,,kaiser
haloperidol decanoate soln 100 mg/ml,1,MB,kaiser
haloperidol decanoate soln 50 mg/ml,1,MB,kaiser
haloperidol lactate conc 2 mg/ml,1,,kaiser
haloperidol lactate soln 5 mg/ml,1,MB,kaiser
haloperidol tabs 0.5 mg,1,,kaiser
haloperidol tabs 1 mg,1,,kaiser
haloperidol tabs 10 mg,1,,kaiser
haloperidol tabs 2 mg,1,,kaiser
haloperidol tabs 20 mg,1,,kaiser
haloperidol tabs 5 mg,1,,kaiser
imipramine hcl tabs 10 mg,1,,kaiser
imipramine hcl tabs 25 mg,1,,kaiser
imipramine hcl tabs 50 mg,1,,kaiser
INVEGA SUSTENNA SUSY 117 MG/0.75ML [paliperidone palmitate],4,MB,kaiser
INVEGA SUSTENNA SUSY 156 MG/ML [paliperidone palmitate],4,MB,kaiser
INVEGA SUSTENNA SUSY 234 MG/1.5ML [paliperidone palmitate],4,MB,kaiser
INVEGA SUSTENNA SUSY 39 MG/0.25ML [paliperidone palmitate],4,MB,kaiser
INVEGA SUSTENNA SUSY 78 MG/0.5ML [paliperidone palmitate],4,MB,kaiser
loxapine succinate caps 10 mg,1,,kaiser
loxapine succinate caps 25 mg,1,,kaiser
loxapine succinate caps 5 mg,1,,kaiser
loxapine succinate caps 50 mg,1,,kaiser
maprotiline hcl tabs 25 mg,2,,kaiser
maprotiline hcl tabs 50 mg,2,,kaiser
maprotiline hcl tabs 75 mg,2,,kaiser
mirtazapine tabs 15 mg,1,,kaiser
mirtazapine tabs 30 mg,1,,kaiser
mirtazapine tabs 45 mg,1,,kaiser
nefazodone hcl tabs 100 mg,2,,kaiser
nefazodone hcl tabs 150 mg,2,,kaiser
nefazodone hcl tabs 200 mg,2,,kaiser
nefazodone hcl tabs 250 mg,1,,kaiser
nefazodone hcl tabs 50 mg,1,,kaiser
nortriptyline hcl caps 10 mg,1,,kaiser
nortriptyline hcl caps 25 mg,1,,kaiser
nortriptyline hcl caps 50 mg,1,,kaiser
nortriptyline hcl caps 75 mg,1,,kaiser
nortriptyline hcl soln 10 mg/5ml,1,,kaiser
olanzapine solr 10 mg,1,MB,kaiser
olanzapine tabs 10 mg,1,,kaiser
olanzapine tabs 15 mg,1,,kaiser
olanzapine tabs 2.5 mg,1,,kaiser
olanzapine tabs 20 mg,1,,kaiser
olanzapine tabs 5 mg,1,,kaiser
olanzapine tabs 7.5 mg,1,,kaiser
ORAP TABS 1 MG [pimozide],2,,kaiser
ORAP TABS 2 MG [pimozide],2,,kaiser
paroxetine hcl tabs 10 mg,1,,kaiser
paroxetine hcl tabs 20 mg,1,,kaiser
paroxetine hcl tabs 30 mg,1,,kaiser
paroxetine hcl tabs 40 mg,1,,kaiser
perphenazine tabs 16 mg,1,,kaiser
perphenazine tabs 2 mg,1,,kaiser
perphenazine tabs 4 mg,1,,kaiser
perphenazine tabs 8 mg,1,,kaiser
perphenazine-amitriptyline tabs 2-10 mg,2,,kaiser
perphenazine-amitriptyline tabs 2-25 mg,2,,kaiser
perphenazine-amitriptyline tabs 4-10 mg,2,,kaiser
perphenazine-amitriptyline tabs 4-25 mg,2,,kaiser
perphenazine-amitriptyline tabs 4-50 mg,2,,kaiser
phenelzine sulfate tabs 15 mg,1,,kaiser
pimozide tabs 2 mg,1,,kaiser
prochlorperazine edisylate soln 10 mg/2ml,1,MB,kaiser
prochlorperazine maleate tabs 10 mg,1,,kaiser
prochlorperazine maleate tabs 5 mg,1,,kaiser
protriptyline hcl tabs 10 mg,1,,kaiser
protriptyline hcl tabs 5 mg,1,,kaiser
quetiapine fumarate tabs 100 mg,1,,kaiser
quetiapine fumarate tabs 200 mg,1,,kaiser
quetiapine fumarate tabs 25 mg,1,,kaiser
quetiapine fumarate tabs 300 mg,1,,kaiser
quetiapine fumarate tabs 400 mg,1,,kaiser
quetiapine fumarate tabs 50 mg,1,,kaiser
RISPERDAL CONSTA SRER 12.5 MG [risperidone microspheres],4,MB,kaiser
RISPERDAL CONSTA SRER 25 MG [risperidone microspheres],4,MB,kaiser
RISPERDAL CONSTA SRER 37.5 MG [risperidone microspheres],4,MB,kaiser
RISPERDAL CONSTA SRER 50 MG [risperidone microspheres],4,MB,kaiser
RISPERIDONE SOLN 1 MG/ML [risperidone],1,,kaiser
RISPERIDONE TABS 0.25 MG [risperidone],1,,kaiser
RISPERIDONE TABS 0.5 MG [risperidone],1,,kaiser
RISPERIDONE TABS 1 MG [risperidone],1,,kaiser
RISPERIDONE TABS 2 MG [risperidone],1,,kaiser
RISPERIDONE TABS 3 MG [risperidone],1,,kaiser
RISPERIDONE TABS 4 MG [risperidone],1,,kaiser
sertraline hcl tabs 100 mg,1,,kaiser
sertraline hcl tabs 25 mg,1,,kaiser
sertraline hcl tabs 50 mg,1,,kaiser
thioridazine hcl tabs 10 mg,1,,kaiser
thioridazine hcl tabs 100 mg,1,,kaiser
thioridazine hcl tabs 25 mg,1,,kaiser
thioridazine hcl tabs 50 mg,1,,kaiser
thiothixene caps 1 mg,1,,kaiser
thiothixene caps 10 mg,1,,kaiser
thiothixene caps 2 mg,1,,kaiser
thiothixene caps 5 mg,1,,kaiser
tranylcypromine sulfate tabs 10 mg,1,,kaiser
trazodone hcl tabs 100 mg,1,,kaiser
trazodone hcl tabs 150 mg,1,,kaiser
trazodone hcl tabs 50 mg,1,,kaiser
trifluoperazine hcl tabs 1 mg,1,,kaiser
trifluoperazine hcl tabs 10 mg,1,,kaiser
trifluoperazine hcl tabs 2 mg,1,,kaiser
trifluoperazine hcl tabs 5 mg,1,,kaiser
trimipramine maleate caps 100 mg,1,,kaiser
trimipramine maleate caps 25 mg,1,,kaiser
trimipramine maleate caps 50 mg,1,,kaiser
venlafaxine hcl er cp24 150 mg,1,,kaiser
venlafaxine hcl er cp24 37.5 mg,1,,kaiser
venlafaxine hcl er cp24 75 mg,1,,kaiser
venlafaxine hcl tabs 100 mg,1,,kaiser
venlafaxine hcl tabs 25 mg,1,,kaiser
venlafaxine hcl tabs 37.5 mg,1,,kaiser
venlafaxine hcl tabs 50 mg,1,,kaiser
venlafaxine hcl tabs 75 mg,1,,kaiser
ziprasidone hcl caps 20 mg,1,,kaiser
ziprasidone hcl caps 40 mg,1,,kaiser
ziprasidone hcl caps 60 mg,1,,kaiser
ziprasidone hcl caps 80 mg,1,,kaiser
WIDE-SEAL DIAPHRAGM 60 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 65 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 70 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 75 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 80 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 85 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 90 DPRH 2 % [diaphragm wide seal],2,,kaiser
WIDE-SEAL DIAPHRAGM 95 DPRH 2 % [diaphragm wide seal],2,,kaiser
AEROCHAMBER PLUS FLO-VU SMALL MISC [spacer/aerosol-holding chambers],2,,kaiser
AEROCHAMBER Z-STAT PLUS MISC [spacer/aerosol-holding chambers],2,,kaiser
AEROCHAMBER Z-STAT PLUS/LARGE MISC [spacer/aerosol-holding chambers],2,,kaiser
AEROCHAMBER Z-STAT PLUS/MEDIUM MISC [spacer/aerosol-holding chambers],2,,kaiser
AEROTRACH PLUS MISC  [respiratory therapy supplies],2,,kaiser
BAYER BREEZE 2 CONTROL LIQD LOW [blood glucose calibration],2,,kaiser
BAYER BREEZE 2 CONTROL LIQD NORMAL [blood glucose calibration],2,,kaiser
"BD INSULIN SYRINGE MICROFINE MISC 27G X 5/8"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE MICROFINE MISC 28G X 1/2"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE MISC 25G X 1"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE MISC 27G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
BD INSULIN SYRINGE U-500 MISC 31G X 6MM 0.5 ML [insulin syringe/needle u-500],2,,kaiser
"BD INSULIN SYRINGE U/F 1/2UNIT MISC 31G X 5/16"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE U/F MISC 30G X 1/2"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE U/F MISC 30G X 1/2"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE U/F MISC 30G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE U/F MISC 31G X 5/16"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE U/F MISC 31G X 5/16"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE U/F MISC 31G X 5/16"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE ULTRAFINE MISC 31G X 15/64"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INSULIN SYRINGE ULTRAFINE MISC 31G X 5/16"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INTEGRA INSULIN SYRINGE MISC 29G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"BD INTEGRA SYRINGE MISC 25G X 5/8"" 3 ML [syringe/needle (disp) 3 ml]",2,,kaiser
BD LANCET DEVICE MISC  [lancet devices],2,,kaiser
BD LANCET ULTRAFINE 33G MISC  [lancets],2,,kaiser
"BD LUER-LOK SYRINGE MISC 2G X 1-1/4"" 3 ML [syringe/needle (disp) 3 ml]",2,,kaiser
BD PEN NEEDLE MINI U/F MISC 31G X 5 MM [insulin,2,,kaiser
BD PEN NEEDLE NANO U/F MISC 32G X 4 MM [insulin pen needle],2,,kaiser
BD PEN NEEDLE ORIGINAL U/F MISC 29G X 12.7MM [insulin pen needle],2,,kaiser
BD PEN NEEDLE SHORT U/F MISC 31G X 8 MM [insulin pen needle],2,,kaiser
"BD SAFETYGLIDE INSULIN SYRINGE MISC 29G X 1/2"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD SAFETYGLIDE SYRINGE/NEEDLE MISC 27G X 5/8"" 1 ML [syringe/needle (disp) 1 ml]",2,,kaiser
"BD VEO INSULIN SYRINGE U/F MISC 31G X 15/64"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"BD VEO INSULIN SYRINGE U/F MISC 31G X 15/64"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"BD VEO INSULIN SYRINGE U/F MISC 31G X 15/64"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
CLICKFINE PEN NEEDLES MISC 31G X 6 MM [insulin pen needle],1,,kaiser
DISPOSABLE POWER KIT  [misc. devices],2,,kaiser
"MONOJECT INSULIN SYRINGE MISC 27G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"MONOJECT INSULIN SYRINGE MISC 29G X 1/2"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"MONOJECT INSULIN SYRINGE MISC 29G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
OMNITROPE PEN 5 INJ DEVICE MISC  [injection device],2,,kaiser
ONETOUCH DELICA LANCETS 33G MISC  [lancets],2,,kaiser
ONETOUCH FINEPOINT LANCETS MISC  [lancets],2,,kaiser
ONETOUCH SURESOFT LANCING DEV MISC [lancets misc.],2,,kaiser
ONETOUCH ULTRA CONTROL SOLN  [blood glucose calibration],2,,kaiser
ONETOUCH ULTRA MINI KIT W/DEVICE [blood glucose monitoring supplies],2,,kaiser
ONETOUCH ULTRASOFT LANCETS MISC  [lancets],2,,kaiser
ONETOUCH VERIO SOLN HIGH [blood glucose calibration],2,,kaiser
PEDIATRIC SMALL MASK MISC  [masks],2,,kaiser
PENLET II BLOOD SAMPLER KIT  [lancets misc.],2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 28G X 1/2"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 28G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 29G X 1/2""",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 29G X 1/2"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 30G X 1/2"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 30G X 1/2"" 0.5 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 30G X 1/2"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 30G X 5/16"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 31G X 5/16"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
"SURE COMFORT INSULIN SYRINGE MISC 31G X 5/16"" 1 ML [insulin syringe/needle u-100]",2,,kaiser
"[Insulin Syringe/needle U-100] TERUMO INSULIN SYRINGE/U-100/0.5ML/27G X 1/2"" MIS 0.5/27G",2,,kaiser
TRUZONE PEAK FLOW METER DEVI  [peak flow meter],2,MB,kaiser
ULTRA THIN LANCETS 30G MISC  [lancets],2,,kaiser
"ULTRA-COMFORT INSULIN SYRINGE MISC 31G X 5/16"" 0.3 ML [insulin syringe/needle u-100]",2,,kaiser
ACETEST TAB TABLETS  [acetone (urine) test],2,,kaiser
adenosine soln 3 mg/ml,1,MB,kaiser
AK-FLUOR SOLN 10 % [fluorescein sodium injection],1,MB,kaiser
ALBUSTIX STRP  [albumin (urine) test],2,,kaiser
ALTAFLUOR BENOX SOLN 0.25-0.4 % [fluorescein w/ benoxinate],1,,kaiser
BIO GLO STRP 1 MG [fluorescein sodium topical],1,,kaiser
CANDIN SOLN  [candida albicans skin test antigen],2,MB,kaiser
CHEMSTRIP 9 STRP  [multiple urine tests],2,,kaiser
CHIRHOSTIM SOLR 16 MCG [secretin acetate (human)],2,MB,kaiser
CONRAY 43 INJ 43%      [iothalamate meglumine],2,MB,kaiser
CONRAY SOLN 60 % [iothalamate meglumine],2,MB,kaiser
CORTROSYN SOLR 0.25 MG [cosyntropin],2,MB,kaiser
CYSTO-CONRAY II SOLN 17.2 % [iothalamate meglumine],2,MB,kaiser
CYSTOGRAFIN SOLN 30 % [diatrizoate meglumine],2,MB,kaiser
CYSTOGRAFIN-DILUTE SOLN 18 % [diatrizoate meglumine],2,MB,kaiser
D-XYLOSE POWD  [d-xylose],2,,kaiser
DIASTIX STRP  [glucose urine test-(glucose,2,,kaiser
E-Z-CAT DRY PACK 2 % [barium sulfate],2,,kaiser
EOVIST SOLN 0.25 MOL/L [gadoxetate disodium],2,MB,kaiser
GADAVIST SOLN 1 MMOL/ML [gadobutrol],2,MB,kaiser
GASTROGRAFIN SOLN 66-10 % [diatrizoate meglumine & sodium],2,,kaiser
INDIGO CARMINE SOLN 8 MG/ML [indigotindisulfonate sodium],2,MB,kaiser
KETO-DIASTIX STRP  [urine glucose-ketones test],2,,kaiser
KETOSTIX STRP  [acetone (urine) test],2,,kaiser
LEXISCAN SOLN 0.4 MG/5ML [regadenoson],2,MB,kaiser
LUMASON SUSR 60.7-25 MG [sulfur hexafluoride lipid-type a microspheres],2,MB,kaiser
MAGNEVIST SOLN 469.01 MG/ML [gadopentetate dimeglumine],2,MB,kaiser
MD-76 R SOLN 66-10 % [diatrizoate meglumine & sodium],2,MB,kaiser
METOPIRONE CAPS 250 MG [metyrapone],2,,kaiser
MULTIHANCE SOLN 529 MG/ML [gadobenate dimeglumine],2,MB,kaiser
OMNIPAQUE INJ 300MG/ML [iohexol],2,MB,kaiser
OMNIPAQUE INJ 350MG/ML [iohexol],2,MB,kaiser
OMNIPAQUE SOLN 180 MG/ML [iohexol],2,MB,kaiser
OMNIPAQUE SOLN 240 MG/ML [iohexol],2,MB,kaiser
OMNIPAQUE SOLN 300 MG/ML [iohexol],2,MB,kaiser
OMNIPAQUE SOLN 350 MG/ML [iohexol],2,MB,kaiser
ONETOUCH ULTRA BLUE STRP  [glucose blood],2,,kaiser
READI-CAT 2 SUSP 2 % [barium sulfate],2,,kaiser
READI-CAT 2 SUSP 2.1 % [barium sulfate],2,,kaiser
THYROGEN SOLR 1.1 MG [thyrotropin alfa],2,MB,kaiser
TUBERSOL SOLN 5 UNIT/0.1ML [tuberculin ppd],2,MB,kaiser
VOLUMEN SUSP 0.1 % [barium sulfate],2,,kaiser
CYTRA K CRYSTALS PACK 3300-1002 MG [potassium citrate-citric acid],1,,kaiser
CYTRA-K SOLN 1100-334 MG/5ML [potassium citrate- citric acid],1,,kaiser
NEUT SOLN 4 % [sodium bicarbonate],2,MB,kaiser
POTASSIUM CITRATE ER TBCR 10 MEQ (1080 MG) [potassium citrate (alkalinizer)],1,,kaiser
POTASSIUM CITRATE ER TBCR 5 MEQ (540 MG) [potassium citrate (alkalinizer)],1,,kaiser
POTASSIUM CITRATE-CITRIC ACID SOLN 1100-334 MG/5ML [potassium citrate-citric acid],1,,kaiser
SOD CITRATE-CITRIC ACID SOLN 500-334 MG/5ML [sodium citrate & citric acid],1,,kaiser
SODIUM ACETATE SOLN 2 MEQ/ML [sodium acetate],2,MB,kaiser
SODIUM BICARBONATE SOLN 4.2 % [sodium bicarbonate],1,MB,kaiser
SODIUM BICARBONATE SOLN 7.5 % [sodium bicarbonate],2,MB,kaiser
SODIUM BICARBONATE SOLN 8.4 % [sodium bicarbonate],1,MB,kaiser
THAM SOLN 30 MEQ/100ML [tromethamine],2,MB,kaiser
TRICITRATES SOLN 550-500-334 MG/5ML [pot & sod citrates w/citric ac],1,,kaiser
BUPHENYL TABS 500 MG [sodium phenylbutyrate],4,QL - 30 day(s),kaiser
lactulose (encephalopathy) soln 10 gm/15ml,1,,kaiser
lactulose soln 10 gm/15ml,1,,kaiser
lactulose soln 20 gm/30ml,1,,kaiser
LITHOSTAT TABS 250 MG [acetohydroxamic acid],2,,kaiser
sodium phenylbutyrate powd 3 gm/tsp,1,QL - 30 day(s),kaiser
AMINOSYN II SOLN 10 % [amino acid infusion],2,MB,kaiser
AMINOSYN II/ELECTROLYTES SOLN 8.5 % [amino acid electrolyte infusion],2,MB,kaiser
CLINIMIX E/DEXTROSE (2.75/10) SOLN 2.75 % [amino acid electrolyte w/ calcium infusion in d10w],2,MB,kaiser
CLINIMIX E/DEXTROSE (2.75/5) SOLN 2.75 % [amino acid electrolyte w/ calcium infusion in d5w],2,MB,kaiser
CLINIMIX E/DEXTROSE (4.25/10) SOLN 4.25 % [amino acid electrolyte w/ calcium infusion in d10w],2,MB,kaiser
CLINIMIX E/DEXTROSE (4.25/25) SOLN 4.25 % [amino acid electrolyte w/ calcium infusion in d25w],2,MB,kaiser
CLINIMIX E/DEXTROSE (4.25/5) SOLN 4.25 % [amino acid electrolyte w/ calcium infusion in d5w],2,MB,kaiser
CLINIMIX E/DEXTROSE (5/15) SOLN 5 % [amino acid electrolyte w/ calcium infusion in d15w],2,MB,kaiser
CLINIMIX E/DEXTROSE (5/20) SOLN 5 % [amino acid electrolyte w/ calcium infusion in d20w],2,MB,kaiser
